"base_!","!"
"base_\920","\Theta"
"-slantedGreek_\920","\Theta"
"unicode-math_\920","\upTheta"
"unicode-math_\921","\upIota"
"unicode-math_\922","\upKappa"
"base_\923","\Lambda"
"-slantedGreek_\923","\Lambda"
"unicode-math_\923","\upLambda"
"unicode-math_\924","\upMu"
"unicode-math_\925","\upNu"
"base_\926","\Xi"
"-slantedGreek_\926","\Xi"
"unicode-math_\926","\upXi"
"unicode-math_\927","\upOmicron"
"base_\928","\Pi"
"-slantedGreek_\928","\Pi"
"unicode-math_\928","\upPi"
"unicode-math_\929","\upRho"
"base_\931","\Sigma"
"-slantedGreek_\931","\Sigma"
"unicode-math_\931","\upSigma"
"unicode-math_\932","\upTau"
"base_\933","\Upsilon"
"-slantedGreek_\933","\Upsilon"
"unicode-math_\933","\upUpsilon"
"base_\934","\Phi"
"-slantedGreek_\934","\Phi"
"unicode-math_\934","\upPhi"
"unicode-math_\935","\upChi"
"base_\936","\Psi"
"-slantedGreek_\936","\Psi"
"unicode-math_\936","\upPsi"
"base_\937","\Omega"
"-slantedGreek_\937","\Omega"
"unicode-math_\937","\upOmega"
"base_\945","\alpha"
"omlmathrm_\945","\mathrm{\alpha}"
"unicode-math_\945","\upalpha"
"base_\946","\beta"
"omlmathrm_\946","\mathrm{\beta}"
"unicode-math_\946","\upbeta"
"base_\947","\gamma"
"omlmathrm_\947","\mathrm{\gamma}"
"unicode-math_\947","\upgamma"
"base_\948","\delta"
"omlmathrm_\948","\mathrm{\delta}"
"unicode-math_\948","\updelta"
"base_\949","\varepsilon"
"omlmathrm_\949","\mathrm{\varepsilon}"
"unicode-math_\949","\upepsilon"
"base_\950","\zeta"
"omlmathrm_\950","\mathrm{\zeta}"
"unicode-math_\950","\upzeta"
"base_\951","\eta"
"omlmathrm_\951","\mathrm{\eta}"
"unicode-math_\951","\upeta"
"base_\952","\theta"
"omlmathrm_\952","\mathrm{\theta}"
"unicode-math_\952","\uptheta"
"base_\953","\iota"
"omlmathrm_\953","\mathrm{\iota}"
"unicode-math_\953","\upiota"
"base_\954","\kappa"
"omlmathrm_\954","\mathrm{\kappa}"
"unicode-math_\954","\upkappa"
"base_\955","\lambda"
"omlmathrm_\955","\mathrm{\lambda}"
"unicode-math_\955","\uplambda"
"base_\956","\mu"
"omlmathrm_\956","\mathrm{\mu}"
"unicode-math_\956","\upmu"
"base_\957","\nu"
"omlmathrm_\957","\mathrm{\nu}"
"unicode-math_\957","\upnu"
"base_\958","\xi"
"omlmathrm_\958","\mathrm{\xi}"
"unicode-math_\958","\upxi"
"unicode-math_\959","\upomicron"
"base_\960","\pi"
"omlmathrm_\960","\mathrm{\pi}"
"unicode-math_\960","\uppi"
"base_\961","\rho"
"omlmathrm_\961","\mathrm{\rho}"
"unicode-math_\961","\uprho"
"base_\962","\varsigma"
"omlmathrm_\962","\mathrm{\varsigma}"
"unicode-math_\962","\upvarsigma"
"base_\963","\sigma"
"omlmathrm_\963","\mathrm{\sigma}"
"unicode-math_\963","\upsigma"
"base_\964","\tau"
"omlmathrm_\964","\mathrm{\tau}"
"unicode-math_\964","\uptau"
"base_\965","\upsilon"
"omlmathrm_\965","\mathrm{\upsilon}"
"unicode-math_\965","\upupsilon"
"base_\966","\varphi"
"omlmathrm_\966","\mathrm{\varphi}"
"unicode-math_\966","\upvarphi"
"base_\967","\chi"
"omlmathrm_\967","\mathrm{\chi}"
"unicode-math_\967","\upchi"
"base_\968","\psi"
"omlmathrm_\968","\mathrm{\psi}"
"unicode-math_\968","\uppsi"
"base_\969","\omega"
"omlmathrm_\969","\mathrm{\omega}"
"unicode-math_\969","\upomega"
"arevmath_\976","\varbeta"
"unicode-math_\976","\upvarbeta"
"base_\977","\vartheta"
"omlmathrm_\977","\mathrm{\vartheta}"
"unicode-math_\977","\upvartheta"
"base_\978","\mathrm{\Upsilon}"
"unicode-math_\978","\upUpsilon"
